Date,PeerFlow5,OwnFlow5,Forward5,ExitDate5,PeerFlow20,OwnFlow20,Forward20,ExitDate20,PeerFlow60,OwnFlow60,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2013-10-23,0.060729154718,0.008750131252,-0.003046458492,2013-10-31,-0.553664263669,0.064644822873,-0.052551408987,2013-11-21,,,-0.073115003808,2014-01-17,0.370000000000,-0.430000000000,-0.004905665316,-0.002660585329
2013-10-24,0.039682802135,0.010913789792,-0.011051829268,2013-11-01,-0.553664263669,0.054652772717,-0.061356707317,2013-11-22,,,-0.071646341463,2014-01-20,0.360000000000,-0.400000000000,-0.003774001866,0.005749329245
2013-10-25,0.039682802135,0.024010337542,-0.011769172361,2013-11-04,-0.549829753235,0.056289064611,-0.067198177677,2013-11-25,,,-0.067577828398,2014-01-21,0.360000000000,-0.340000000000,-0.005553073339,0.011587485516
2013-10-28,0.039682802135,0.037351472966,-0.017857142857,2013-11-05,-0.371704123518,0.046549155909,-0.069528875380,2013-11-26,,,-0.073328267477,2014-01-22,0.340000000000,-0.150000000000,-0.005028360280,-0.001141118296
2013-10-29,0.000000000000,0.023854134138,-0.015648854962,2013-11-06,-0.102740312445,0.053555170752,-0.064885496183,2013-11-27,,,-0.073282442748,2014-01-23,0.350000000000,-0.110000000000,-0.006415122119,0.006483600305
2013-10-30,0.000000000000,-0.017348461191,-0.014514896868,2013-11-07,-0.070922404979,-0.017348461191,-0.065699006875,2013-11-28,,,-0.061115355233,2014-01-24,0.350000000000,-0.130000000000,-0.006109122411,0.000760745531
2013-10-31,0.000000000000,-0.028069508740,-0.005780346821,2013-11-08,-0.070922404979,-0.015312729691,-0.059730250482,2013-11-29,-0.841883767737,-0.560472437254,-0.048169556840,2014-01-27,0.370000000000,-0.080000000000,-0.005663661848,-0.007218844985
2013-11-01,0.000000000000,-0.044763139047,-0.026123703419,2013-11-11,-0.070922404979,-0.050832810885,-0.061083365348,2013-12-02,-0.810420658973,-0.368943413656,-0.051863234729,2014-01-28,0.400000000000,-0.070000000000,-0.004625089887,-0.007627765065
2013-11-04,0.000000000000,-0.050832810885,-0.022437137331,2013-11-12,-0.054151950373,-0.068587675834,-0.063442940039,2013-12-03,-0.773553404715,-0.015380018280,-0.051450676983,2014-01-29,0.500000000000,0.040000000000,-0.004864091559,-0.024537561344
2013-11-05,0.000000000000,-0.050832810885,-0.029468786351,2013-11-13,-0.054151950373,-0.023958042933,-0.065141527724,2013-12-04,-0.768552368304,0.188260998685,-0.044203179527,2014-01-30,0.500000000000,0.050000000000,-0.005002533963,-0.018250950570
2013-11-06,0.000000000000,-0.011034214894,-0.028682170543,2013-11-14,-0.054151950373,-0.021827579583,-0.057751937984,2013-12-05,-0.772570562168,0.272621941523,-0.046124031008,2014-02-07,0.550000000000,0.070000000000,-0.004220272028,-0.014149139579
2013-11-07,0.000000000000,-0.004443101640,-0.022868217054,2013-11-15,-0.036764931158,-0.006649879416,-0.063565891473,2013-12-06,-0.755598189674,0.386834026540,-0.034883720930,2014-02-10,0.480000000000,0.010000000000,-0.004765445368,-0.002312138728
2013-11-08,0.000000000000,0.000000000000,-0.002366863905,2013-11-18,-0.036764931158,-0.006649879416,-0.043786982249,2013-12-09,-0.755598189674,0.426566837293,-0.010650887574,2014-02-11,0.460000000000,-0.040000000000,-0.003536982757,0.001557026080
2013-11-11,0.000000000000,0.000000000000,-0.002770083102,2013-11-19,-0.036764931158,-0.023958042933,-0.038385437277,2013-12-10,-0.753296850748,0.640706461250,-0.003165809260,2014-02-12,0.590000000000,0.090000000000,-0.004174247399,-0.005505308691
2013-11-12,0.000000000000,0.006694396344,-0.000799041151,2013-11-20,0.000000000000,-0.004413685957,-0.016779864163,2013-12-11,-0.753296850748,0.676238035789,0.007990411506,2014-02-13,0.590000000000,0.090000000000,-0.003630582122,-0.006316620608
2013-11-13,0.000000000000,0.026777585376,-0.007182761373,2013-11-21,0.060729154718,0.006562598439,-0.020750199521,2013-12-12,-0.753296850748,0.722478437949,0.009976057462,2014-02-14,0.620000000000,0.080000000000,-0.003028630523,-0.018830914084
2013-11-14,0.000000000000,0.033471981720,-0.023006743356,2013-11-22,0.039682802135,0.010913789792,-0.042046806823,2013-12-13,-0.748561657968,0.822394308559,0.028163427211,2014-02-17,0.580000000000,0.080000000000,-0.003309262244,-0.005926511260
2013-11-15,0.000000000000,0.031240516272,-0.028469750890,2013-11-25,0.039682802135,0.008731031833,-0.046263345196,2013-12-16,-0.734550379180,0.885222896678,0.026492684856,2014-02-18,0.510000000000,0.060000000000,-0.002205863640,-0.030326295585
2013-11-18,0.000000000000,0.026777585376,-0.028174603175,2013-11-26,0.039682802135,0.010985727343,-0.040079365079,2013-12-17,-0.730453927390,0.892504606475,0.019047619048,2014-02-19,0.530000000000,0.110000000000,-0.002649004447,-0.031058282209
2013-11-19,0.000000000000,0.019949638247,-0.020391843263,2013-11-27,0.000000000000,-0.002168557649,-0.032387045182,2013-12-18,-0.727651988309,1.052932148339,0.024790083966,2014-02-20,0.480000000000,0.040000000000,-0.002801028413,-0.036223506744
2013-11-20,0.000000000000,0.000000000000,-0.016881028939,2013-11-28,0.000000000000,-0.002168557649,-0.030144694534,2013-12-19,-0.727651988309,1.034775533307,0.031350482315,2014-02-21,0.530000000000,0.160000000000,-0.003479990466,-0.044207317073
2013-11-21,0.000000000000,0.000000000000,-0.009338205441,2013-11-29,0.000000000000,0.000000000000,-0.037352821762,2013-12-20,-0.709535679112,1.123152528698,0.043442955745,2014-02-24,0.640000000000,0.280000000000,-0.002644661506,-0.061356707317
2013-11-22,0.019084090866,0.012983191095,-0.005291005291,2013-12-02,0.019084090866,-0.002131578050,-0.041514041514,2013-12-23,-0.703992431619,1.146074008875,0.061864061864,2014-02-25,0.600000000000,0.240000000000,-0.000987459267,-0.061473844979
2013-11-25,0.019084090866,0.017386164091,-0.011433238056,2013-12-03,0.019084090866,-0.008472135147,-0.037566353614,2013-12-24,-0.703992431619,1.217224916641,0.068599428338,2014-02-26,0.560000000000,0.220000000000,-0.000497146347,-0.071972581874
